

New Jersey Devils:
Travis Zajac 19 C
Cory Schneider 35 G
P.K. Subban 76 D
Kyle Palmieri 21 RW
Fredrik Claesson 33 D
Damon Severson 28 D
Connor Carrick 5 D
Nikita Gusev 97 LW
Will Butcher 8 D
John Hayden 15 C
Miles Wood 44 LW
Mirco Mueller 25 D
Dakota Mermis 32 D
Pavel Zacha 37 C
Mackenzie Blackwood 29 G
Kevin Rooney 16 C
Joey Anderson 14 RW
Jesper Bratt 63 LW
Michael McLeod 41 C
Nico Hischier 13 C
Jack Hughes 86 C

New York Islanders:
Casey Cizikas 53 C
Adam Pelech 3 D
Johnny Boychuk 55 D
Andrew Ladd 16 LW
Thomas Greiss 1 G
Andy Greene 4 D
Leo Komarov 47 RW
Cal Clutterbuck 15 RW
Derick Brassard 10 C
Semyon Varlamov 40 G
Thomas Hickey 34 D
Josh Bailey 12 RW
Jordan Eberle 7 RW
Matt Martin 17 LW
Nick Leddy 2 D
Anders Lee 27 LW
Brock Nelson 29 C
Tom Kuhnhackl 14 RW
Jean-Gabriel Pageau 44 C
Scott Mayfield 24 D
Ryan Pulock 6 D
Ross Johnston 32 LW
Michael Dal Colle 28 LW
Devon Toews 25 D
Mathew Barzal 13 C
Anthony Beauvillier 18 LW
Otto Koivula 21 LW
Noah Dobson 8 D

New York Rangers:
Micheal Haley 38 C
Henrik Lundqvist 30 G
Marc Staal 18 D
Brendan Smith 42 D
Chris Kreider 20 LW
Greg McKegg 14 C
Jesper Fast 17 RW
Ryan Strome 16 C
Mika Zibanejad 93 C
Phillip Di Giuseppe 33 LW
Jacob Trouba 8 D
Pavel Buchnevich 89 RW
Tony DeAngelo 77 D
Brendan Lemieux 48 LW
Igor Shesterkin 31 G
Artemi Panarin 10 LW
Adam Fox 23 D
Ryan Lindgren 55 D
Julien Gauthier 12 RW
Brett Howden 21 C
Filip Chytil 72 C
Alexandar Georgiev 40 G
Kaapo Kakko 24 RW

Philadelphia Flyers:
James van Riemsdyk 25 LW
Samuel Morin 55 D
Oskar Lindblom 23 LW
Chris Stewart 44 RW
Nate Thompson 44 C
Brian Elliott 37 G
Matt Niskanen 15 D
Claude Giroux 28 C
Justin Braun 61 D
Jakub Voracek 93 RW
Derek Grant 38 C
Tyler Pitlick 18 C
Kevin Hayes 13 C
Sean Couturier 14 C
Scott Laughton 21 C
Shayne Gostisbehere 53 D
Michael Raffl 12 LW
Robert Hagg 8 D
Travis Sanheim 6 D
Nicolas Aube-Kubel 62 RW
Travis Konecny 11 RW
Ivan Provorov 9 D
Philippe Myers 5 D
Carter Hart 79 G
Joel Farabee 49 LW

Pittsburgh Penguins:
Jake Guentzel 59 LW
Patrick Marleau 12 C
Evgeni Malkin 71 C
Sidney Crosby 87 C
Jack Johnson 3 D
Kris Letang 58 D
Patric Hornqvist 72 RW
Justin Schultz 4 D
Brian Dumoulin 8 D
Jason Zucker 16 LW
Nick Bjugstad 27 C
Bryan Rust 17 RW
Matt Murray 30 G
Teddy Blueger 53 C
Chad Ruhwedel 2 D
Tristan Jarry 35 G
Conor Sheary 43 LW
Jared McCann 19 C
Marcus Pettersson 28 D
Sam Lafferty 37 C
Anthony Angello 57 C
John Marino 6 D
Evan Rodrigues 9 C
Dominik Simon 18 C
Brandon Tanev 13 LW
Zach Aston-Reese 46 C
Juuso Riikola 50 D

Boston Bruins:
Kevan Miller 86 D
Zdeno Chara 33 D
Patrice Bergeron 37 C
Jaroslav Halak 41 G
David Krejci 46 C
Tuukka Rask 40 G
Brad Marchand 63 LW
John Moore 27 D
Charlie Coyle 13 C
Chris Wagner 14 RW
Joakim Nordstrom 20 C
Sean Kuraly 52 C
Torey Krug 47 D
Matt Grzelcyk 48 D
Anton Blidh 81 LW
Connor Clifton 75 D
Nick Ritchie 21 LW
David Pastrnak 88 RW
Anders Bjork 10 LW
Ondrej Kase 28 RW
Brandon Carlo 25 D
Jeremy Lauzon 79 D
Jake DeBrusk 74 LW
Charlie McAvoy 73 D
Par Lindholm 26 C

Buffalo Sabres:
Vladimir Sobotka 17 C
Tage Thompson 72 RW
Matt Hunwick 48 D
Kyle Okposo 21 RW
Michael Frolik 67 RW
Wayne Simmonds 17 RW
Marcus Johansson 90 LW
Carter Hutton 40 G
Johan Larsson 22 C
Jeff Skinner 53 LW
Colin Miller 33 D
Zemgus Girgensons 28 C
Jimmy Vesey 13 LW
Jake McCabe 19 D
Linus Ullmark 35 G
Rasmus Ristolainen 55 D
Curtis Lazar 27 C
Sam Reinhart 23 C
Brandon Montour 62 D
Victor Olofsson 68 LW
Jack Eichel 9 C
Henri Jokiharju 10 D
Rasmus Dahlin 26 D
Lawrence Pilut 24 D
Dominik Kahun 95 C

Montréal Canadiens:
Victor Mete 53 D
Jake Evans 71 C
Shea Weber 6 D
Carey Price 31 G
Jeff Petry 26 D
Karl Alzner 27 D
Paul Byron 41 LW
Dale Weise 22 RW
Tomas Tatar 90 LW
Ben Chiarot 8 D
Jordan Weal 43 C
Brendan Gallagher 11 RW
Xavier Ouellet 61 D
Joel Armia 40 RW
Phillip Danault 24 C
Charles Hudon 54 LW
Brett Kulak 77 D
Artturi Lehkonen 62 LW
Jonathan Drouin 92 LW
Max Domi 13 C
Christian Folin 32 D
Charlie Lindgren 39 G
Nick Suzuki 14 C

Ottawa Senators:
Mark Borowiecki 74 D
Anders Nilsson 31 G
Craig Anderson 41 G
Ron Hainsey 81 D
Bobby Ryan 9 RW
Artem Anisimov 51 C
Mikkel Boedker 89 LW
Matthew Peca 53 C
Mike Reilly 5 D
Chris Tierney 71 C
Connor Brown 28 RW
Scott Sabourin 49 RW
Marcus Hogberg 35 G
Anthony Duclair 10 LW
Nick Paul 13 LW
Jayce Hawryluk 79 RW
Andreas Englund 39 D
Colin White 36 C
Thomas Chabot 72 D
Christian Wolanin 86 D
Rudolfs Balcers 38 LW
Nikita Zaitsev 22 D
Brady Tkachuk 7 LW

Toronto Maple Leafs:
Andreas Johnsson 18 LW
Ilya Mikheyev 65 RW
Jason Spezza 19 C
Jake Muzzin 8 D
Kyle Clifford 73 LW
John Tavares 91 C
Tyson Barrie 94 D
Martin Marincin 52 D
Justin Holl 3 D
Zach Hyman 11 LW
Jack Campbell 36 G
Frederik Andersen 31 G
Morgan Rielly 44 D
Cody Ceci 83 D
Alexander Kerfoot 15 C
Frederik Gauthier 33 C
William Nylander 88 RW
Kasperi Kapanen 24 RW
Pierre Engvall 47 LW
Travis Dermott 23 D
Mitchell Marner 16 RW
Denis Malgin 62 C
Auston Matthews 34 C
Calle Rosen 48 D
Rasmus Sandin 38 D

Carolina Hurricanes:
Sami Vatanen 45 D
Dougie Hamilton 19 D
Brett Pesce 22 D
Justin Williams 14 RW
James Reimer 47 G
Jordan Staal 11 C
Jake Gardiner 51 D
Nino Niederreiter 21 RW
Petr Mrazek 34 G
Ryan Dzingel 18 C
Vincent Trocheck 16 C
Joel Edmundson 6 D
Brady Skjei 76 D
Teuvo Teravainen 86 LW
Jordan Martinook 48 LW
Brock McGinn 23 LW
Jaccob Slavin 74 D
Trevor van Riemsdyk 57 D
Haydn Fleury 4 D
Warren Foegele 13 LW
Sebastian Aho 20 C
Martin Necas 88 C
Andrei Svechnikov 37 RW

Florida Panthers:
Dryden Hunt 73 LW
Sam Montembeault 33 G
Brian Boyle 9 C
Keith Yandle 3 D
Anton Stralman 6 D
Colton Sceviour 7 C
Evgenii Dadonov 63 RW
Mike Hoffman 68 LW
Erik Haula 56 LW
Sergei Bobrovsky 72 G
Brett Connolly 10 RW
Mark Pysyk 13 D
Jonathan Huberdeau 11 LW
Mike Matheson 19 D
Chris Driedger 60 G
Dominic Toninato 14 C
MacKenzie Weegar 52 D
Josh Brown 2 D
Aleksander Barkov 16 C
Aaron Ekblad 5 D
Lucas Wallmark 71 C
Frank Vatrano 77 C
Noel Acciari 55 C
Aleksi Saarela 28 C
Riley Stillman 61 D

Tampa Bay Lightning:
Jan Rutta 44 D
Curtis McElhinney 35 G
Braydon Coburn 55 D
Alex Killorn 17 LW
Kevin Shattenkirk 22 D
Pat Maroon 14 LW
Ryan McDonagh 27 D
Steven Stamkos 91 C
Zach Bogosian 24 D
Luke Schenn 2 D
Tyler Johnson 9 C
Victor Hedman 77 D
Ondrej Palat 18 LW
Blake Coleman 20 C
Nikita Kucherov 86 RW
Barclay Goodrow 19 C
Yanni Gourde 37 C
Andrei Vasilevskiy 88 G
Cedric Paquette 13 C
Carter Verhaeghe 23 C
Brayden Point 21 C
Erik Cernak 81 D
Mitchell Stephens 67 C
Anthony Cirelli 71 C
Mikhail Sergachev 98 D

Washington Capitals:
Ilya Kovalchuk 17 LW
Alex Ovechkin 8 LW
T.J. Oshie 77 RW
Nicklas Backstrom 19 C
Carl Hagelin 62 LW
Lars Eller 20 C
John Carlson 74 D
Braden Holtby 70 G
Dmitry Orlov 9 D
Richard Panik 14 RW
Nick Jensen 3 D
Nic Dowd 26 C
Brenden Dillon 4 D
Radko Gudas 33 D
Evgeny Kuznetsov 92 C
Travis Boyd 72 C
Tom Wilson 43 RW
Garnet Hathaway 21 RW
Jakub Vrana 13 LW
Jonas Siegenthaler 34 D
Ilya Samsonov 30 G
Michal Kempny 6 D

Chicago Blackhawks:
Brent Seabrook 7 D
Calvin de Haan 44 D
Andrew Shaw 65 RW
Duncan Keith 2 D
Corey Crawford 50 G
Jonathan Toews 19 C
Patrick Kane 88 RW
Zack Smith 15 C
Nick Seeler 55 D
Brandon Saad 20 LW
Connor Murphy 5 D
Olli Maatta 6 D
Malcolm Subban 30 G
Slater Koekkoek 68 D
Dominik Kubalik 8 LW
Ryan Carpenter 22 C
Matthew Highmore 36 C
Dylan Strome 17 C
Alex DeBrincat 12 LW
Alex Nylander 92 LW
Drake Caggiula 91 C
Lucas Carlsson 46 D
Brandon Hagel 38 LW
David Kampf 64 C
Nicolas Beaudin 74 D
Adam Boqvist 27 D
Kirby Dach 77 C

Detroit Red Wings:
Danny DeKeyser 65 D
Filip Zadina 11 RW
Dennis Cholowski 21 D
Valtteri Filppula 51 C
Trevor Daley 83 D
Frans Nielsen 81 C
Jonathan Ericsson 52 D
Jimmy Howard 35 G
Justin Abdelkader 8 LW
Darren Helm 43 LW
Alex Biega 3 D
Jonathan Bernier 45 G
Sam Gagner 89 C
Cody Goloubef 26 D
Patrik Nemeth 22 D
Luke Glendening 41 C
Adam Erne 73 LW
Madison Bowey 74 D
Tyler Bertuzzi 59 LW
Anthony Mantha 39 RW
Brendan Perlini 29 LW
Dylan Larkin 71 C
Robby Fabbri 14 C
Christoffer Ehn 70 C
Dmytro Timashov 15 LW
Filip Hronek 17 D
Gustav Lindstrom 28 D

Nashville Predators:
Yakov Trenin 32 C
Dan Hamhuis 5 D
Pekka Rinne 35 G
Korbinian Holzer 22 D
Nick Bonino 13 C
Kyle Turris 8 C
Yannick Weber 7 D
Roman Josi 59 D
Matt Duchene 95 C
Ryan Ellis 4 D
Mattias Ekholm 14 D
Craig Smith 15 RW
Calle Jarnkrok 19 C
Austin Watson 51 LW
Ryan Johansen 92 C
Jarred Tinordi 24 D
Mikael Granlund 64 C
Colin Blackwell 42 C
Rocco Grimaldi 23 RW
Filip Forsberg 9 LW
Colton Sissons 10 C
Juuse Saros 74 G
Viktor Arvidsson 33 RW
Dante Fabbro 57 D

St. Louis Blues:
Jay Bouwmeester 19 D
Vladimir Tarasenko 91 RW
Alexander Steen 20 LW
Troy Brouwer 36 RW
David Perron 57 LW
Carl Gunnarsson 4 D
Robert Bortuzzo 41 D
Alex Pietrangelo 27 D
Jake Allen 34 G
Marco Scandella 6 D
Tyler Bozak 21 C
Ryan O'Reilly 90 C
Brayden Schenn 10 C
Justin Faulk 72 D
Jaden Schwartz 17 LW
Jordan Binnington 50 G
Colton Parayko 55 D
Oskar Sundqvist 70 C
Mackenzie MacEachern 28 LW
Jacob de la Rose 61 LW
Zach Sanford 12 LW
Ivan Barbashev 49 C
Sammy Blais 9 LW
Vince Dunn 29 D
Jordan Kyrou 33 C
Robert Thomas 18 C

Calgary Flames:
Juuso Valimaki 8 D
Alexander Yelesin 45 D
